SIMC_id;powierzchnia_terenow_uprawnych;powierzchnia_terenow_zalesionych;stosunek_powierzchni_upraw;stosunek_powierzchni_lasow;budynekGospodarstwaRolnego;budynekZabytkowy;budynkiBiurowe;budynkiGarazy;budynkiHandlowoUslugowe;budynkiHoteli;budynkiKultuReligijnego;budynkiKulturyFizycznej;budynkiLacznosciDworcowITerminali;budynkiMieszkalneJednorodzinne;budynkiMuzeowIBibliotek;budynkiODwochMieszkaniach;budynkiOTrzechIWiecejMieszkaniach;budynkiPrzemyslowe;budynkiSzkolIInstytucjiBadawczych;budynkiSzpitaliIZakladowOpiekiMedycznej;budynkiZakwaterowaniaTurystycznegoPozostale;budynkiZbiorowegoZamieszkania;ogolnodostepneObiektyKulturalne;pozostaleBudynkiNiemieszkalne;zbiornikSilosIBudynkiMagazynowe
113419;44778913.48;10056907.35;4.103853646810729;0.9216855143742789;146;0;3;1;2;1;1;0;0;183;1;0;2;12;3;0;0;1;0;1;14
113431;36087179.85;3183391.75;11.632093211027598;1.0261125894883767;7;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0
113448;40700039.03;11459110.83;3.497193008649411;0.9846359668224316;104;0;2;0;2;0;0;0;0;118;0;0;0;3;0;0;0;0;0;0;0
113454;63139137.63999999;184155.46;10.25221137447272;0.029902225026386283;59;0;1;1;0;0;0;0;0;25;0;2;5;0;0;0;0;0;1;1;2
113460;41841306.61;1444156.94;24.469381373587936;0.8445631790984299;30;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0
113477;77033073.69000001;1980271.17;10.415631401696917;0.2677521951821664;181;0;2;0;1;0;0;0;0;86;1;0;0;1;0;0;0;0;0;1;0
113483;22223026.990000002;11927714.89;1.49720978623986;0.8035940139398127;51;0;0;3;0;2;1;0;0;18;0;9;10;3;0;0;0;0;0;1;1
113508;84341606.82;6869692.83;7.994303207309929;0.6511425320756419;34;0;0;2;0;0;0;0;0;17;0;1;5;0;0;0;0;0;0;1;0
113514;99978162.81;1873700.71;7.161327992299868;0.1342111613834639;171;0;4;2;7;0;0;0;1;178;0;0;2;22;0;0;0;0;1;3;13
113520;29227690.0;7770923.69;10.905470629461016;2.8994963360114268;27;0;0;0;0;0;1;0;0;24;0;0;0;0;2;0;0;0;0;0;0
113537;35573303.72;631070.5;10.582139146067542;0.18772717582100404;7;0;1;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;1;6
113550;21603663.62;12128933.33;2.767115396518466;1.553540119450767;35;0;2;4;0;2;0;0;0;23;0;0;16;5;0;0;0;0;0;0;0
113572;60978437.13999999;6484720.8100000005;6.036494488506114;0.6419479288915392;94;0;1;0;1;0;0;0;0;24;0;4;11;3;0;0;0;0;1;1;4
113589;46710198.92;10338294.08;4.6301788806036015;1.0247901318653867;101;0;0;0;1;0;0;0;0;60;0;0;1;0;0;0;0;0;0;0;4
113595;38914163.339999996;3955912.45;2.3851576168871436;0.24246890854151876;173;0;0;0;2;1;0;0;0;215;0;0;12;5;2;0;0;0;1;1;0
113610;48556649.05;45806.48;5.347069989015979;0.005044220705144823;142;0;0;0;2;0;0;0;0;97;1;1;0;0;0;0;0;0;0;1;0
113626;58068637.69;487378.07;12.514059265548513;0.105032222131138;61;0;0;0;0;0;0;0;0;24;0;1;0;0;0;0;0;0;0;0;0
113632;15334497.54;2621550.87;3.866380271668015;0.6609875894859039;66;0;0;0;1;3;0;1;0;36;0;0;2;7;2;0;0;4;0;0;1
113649;37094524.099999994;399321.38;12.305778184518902;0.13247131337684376;31;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0
113655;18932929.44;9694592.92;5.174711655931803;2.6497073863619667;32;0;0;1;1;1;0;0;0;8;0;2;5;4;0;0;0;0;0;1;1
113661;35047871.02;9644647.85;5.3776343245682625;1.4798442192661745;52;0;0;0;0;0;0;0;0;37;0;1;0;0;0;0;0;0;1;0;0
113678;49578863.25;1328092.3599999999;7.396307474570757;0.19812837175504053;130;0;1;0;1;0;0;0;0;79;2;1;0;0;1;0;0;0;0;0;0
113684;45951694.42;1140549.42;5.281330694457161;0.13108588783114805;99;0;0;0;1;0;0;0;0;80;0;0;1;4;0;0;0;0;1;0;3
113690;22537034.919999998;11854342.97;4.249174814904435;2.2350400473783107;31;0;0;1;1;0;0;0;0;6;0;6;8;0;0;0;0;0;1;0;0
113709;2183744.04;;;;7;0;0;2;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0
113715;56178535.449999996;4987514.879999999;4.459777533654295;0.3959378191762828;118;0;4;13;2;1;2;0;0;80;0;2;16;14;5;1;0;0;1;2;5
113721;49722392.93;3923158.6999999997;7.646682714567029;0.6033327852910569;66;0;0;0;0;2;0;0;0;27;0;0;0;0;0;0;0;0;1;0;0
113738;23999606.599999998;8043709.99;3.5920593938556644;1.2039149021313607;54;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;1;0;0
113744;61505457.699999996;454290.18;6.067665632020554;0.04481685065405881;47;0;0;0;1;0;0;0;0;3;0;9;14;0;2;0;0;0;0;1;0
113750;37703128.96;11571745.9;2.4080868269840843;0.7390837215807854;190;0;1;0;2;0;2;0;1;102;0;1;10;0;1;0;0;1;0;1;0
113767;30020.98;6696570.49;0.1291699069241157;28.813029651399788;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
113773;81579219.06;9329347.83;5.630436573806489;0.6438931609919019;191;0;3;1;5;0;1;0;0;183;0;1;0;13;2;1;0;8;1;3;6
113780;71794307.1;4258168.69;5.410139644206929;0.32087902470319524;141;0;2;0;1;1;0;0;0;123;0;1;0;0;1;0;0;0;0;0;1
113796;62569088.71;4034481.83;8.594566842020773;0.5541813773501784;82;0;0;1;2;0;0;0;0;54;0;1;5;2;0;0;0;0;1;0;2
116369;50903923.76;13802951.610000001;2.4660828673751576;0.6686954554842621;176;0;2;1;2;0;2;0;11;85;0;0;9;1;1;0;0;1;0;1;0
116381;49119989.3;9894012.42;4.027389602126552;0.8112184736086447;69;0;1;0;2;0;0;0;0;59;0;0;2;0;0;0;0;0;0;0;0
116398;34796584.34;8748256.33;10.660157636011576;2.680084648734695;51;0;0;0;0;0;0;0;0;31;0;1;0;0;0;0;0;0;0;0;0
116406;31791506.39;;;;17;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0
116429;65179759.56;;;;24;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;1;0;0
116435;66887434.410000004;19204428.71;3.548777334533632;1.0189094847166968;322;0;9;21;11;0;2;2;3;602;0;0;53;20;4;3;0;1;2;2;22
116441;305049.27;14521318.66;1.9223521025213217;91.51009427897698;5;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
116458;30546406.15;157184.56;7.511606397687764;0.038652944661175345;129;0;2;1;2;2;0;0;0;156;0;0;1;14;0;1;0;0;0;1;0
116464;25094362.6;8589555.27;5.03162400370061;1.7222757623517033;20;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0
116470;24062079.55;7777122.32;11.601719535784634;3.7498002516632325;29;0;0;20;0;0;0;0;0;2;0;0;10;0;0;0;0;0;0;0;0
116493;31181898.78;14511350.309999999;11.69564605263913;5.44288909950772;70;0;0;0;0;0;0;0;0;89;0;0;0;1;0;0;0;0;0;0;2
116501;1560247.25;17820791.88;0.3267800379358311;3.732407826126885;53;0;0;0;0;2;2;0;0;76;0;0;0;4;0;0;0;0;0;0;0
116518;74132739.14;14755454.819999998;5.854081844216836;1.16520232716338;287;0;6;9;7;2;2;0;0;343;0;3;8;6;4;1;0;1;0;1;1
116530;44626634.32;12282653.39;13.74627317374681;3.7834067338956636;31;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0
116547;41838925.94;9586572.540000001;34.96019297987153;8.010445260821559;9;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
116553;25209149.94;3106251.4699999997;6.284970991512338;0.7744291429008239;36;0;1;0;0;0;0;0;0;28;0;0;1;0;0;0;0;0;0;0;0
116560;25101950.26;1943260.3199999998;59.55531404707229;4.610457651062773;6;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
116576;35032831.99;18251924.79;4.92960095464932;2.568296673664708;42;0;1;5;1;0;1;0;0;36;0;6;4;0;0;0;0;0;0;0;0
