SIMC_id;rodzaj;nazwa;czy_samodzielna;liczba_adresow;liczba_mieszkancow;powierzchnia;zageszczenie_ludnosci
149222;wieś;Adamowo;True;21;65;5184091.39;0.0012538359205121962
157948;wieś;Adamowo;True;69;255;4841070.89;0.005267429578995486
117890;wieś;Adamowo;True;33;83;2073808.18;0.0040022988047043
471403;wieś;Adamowo;True;13;142;12131404.5;0.0011705157469607086
149647;część wsi;Adamowo-Osiedle;False;26;88;264581.6;0.033260060412364276
764000;osada;Aleksandrowo;True;5;13;336859.7;0.0038591734184884683
484191;osada;Ameryka;True;36;164;7328510.03;0.002237835512657407
154140;kolonia;Anglity;True;13;40;1735135.58;0.002305295359109632
154157;wieś;Aniołowo;True;57;179;5950562.31;0.0030081190763970003
753870;osada;Antomieszki;True;4;5;741117.42;0.0006746569254842235
518300;wieś;Antonia;True;10;35;1495145.4;0.0023409094526860067
482364;osada;Antoniewo;True;63;147;5170464.17;0.002843071630839674
757855;wieś;Antonowo;True;76;201;36544658.74;0.0005500119769349363
764128;osada;Anuszewo;True;7;17;3273972.55;0.0005192468702891233
468950;osada;Aptynty;True;13;157;3622406.82;0.004334134949536121
470250;wieś;Ardapy;True;17;46;2646914.87;0.0017378722875209054
468967;osada;Arklity;True;7;68;255217.57;0.02664393364453709
468980;wieś;Asuny;True;25;62;3210250.0;0.0019313137606105444
753969;wieś;Audyniszki;True;4;9;4042407.8;0.0002226395862386769
473916;wieś;Augamy;True;12;42;9957517.64;0.00042179187141264254
473508;osada;Augustowo;True;4;27;558328.04;0.004835866742426191
153689;wieś;Augustyny;True;9;24;11009373.17;0.0002179960623498422
154163;wieś;Awajki;True;18;48;1981076.27;0.002422925392973386
840421;wieś;Babalice;True;22;83;3698047.1;0.0022444278765405665
479623;wieś;Babiak;True;62;180;10152121.93;0.001773028350537157
478552;wieś;Babieniec;True;26;106;12279973.78;0.0008631940254843117
485925;wieś;Babięta;True;53;136;8971038.15;0.0015159895401849338
473253;przysiółek wsi;Babięty;False;9;10;3107626.97;0.000321788943671061
157954;wieś;Babięty Wielkie;True;69;235;10102370.32;0.002326186751784011
