"",rodzaj,Liczba niesamodzielnych,Liczba samodzielnych
23,wieś,0,43157
10,osada,0,5069
12,osada leśna,0,2253
4,kolonia,0,2149
9,miasto,0,979
18,przysiółek,0,130
22,schronisko turystyczne,0,47
16,osiedle,0,5
3,część wsi,42695,0
1,część miasta,10914,0
21,przysiółek wsi,10398,0
7,kolonia wsi,3988,0
8,leśniczówka,1223,0
15,osada wsi,759,0
0,część kolonii,273,0
13,osada leśna wsi,239,0
2,część osady,85,0
20,przysiółek osady,73,0
19,przysiółek kolonii,69,0
5,kolonia kolonii,28,0
6,kolonia osady,15,0
14,osada osady,6,0
17,osiedle wsi,5,0
11,osada kolonii,4,0
