SIMC_id;nazwa;aktualny_rodzaj;Prawdopodobieństwo wieś;Prawdopodobieństwo osada;Prawdopodobieństwo osada leśna;Prawdopodobieństwo kolonia;Proponowany rodzaj (indeks);Proponowany rodzaj
116547;Chorab;przysiółek wsi;0.123;0.873;0.001;0.003;1;osada
116560;Szczepka;część wsi;0.992;0.004;0.0;0.003;0;wieś
148375;Kalina;kolonia wsi;0.99;0.009;0.0;0.001;0;wieś
148620;Siedlisko;kolonia wsi;0.115;0.841;0.035;0.01;1;osada
148702;Prętki;część kolonii;0.979;0.02;0.0;0.0;0;wieś
148731;Szyleny-Kolonia;część wsi;0.98;0.014;0.0;0.006;0;wieś
148866;Prątnik;kolonia wsi;0.996;0.002;0.0;0.002;0;wieś
149506;Batorowo;część wsi;0.195;0.801;0.004;0.0;1;osada
149647;Adamowo-Osiedle;część wsi;0.985;0.006;0.002;0.007;0;wieś
150455;Klekotki;część wsi;0.742;0.148;0.003;0.107;0;wieś
151450;Jarzeński Młyn;część wsi;0.79;0.206;0.002;0.002;0;wieś
152862;Gardyny-Leśniczówka;część wsi;0.74;0.194;0.005;0.062;0;wieś
152974;Kobyliny;część wsi;0.947;0.003;0.0;0.049;0;wieś
152997;Olszówka;część wsi;0.995;0.004;0.0;0.001;0;wieś
153005;Sucha;część wsi;0.943;0.053;0.002;0.003;0;wieś
154424;Zakrzewko;część wsi;0.094;0.473;0.034;0.398;1;osada
154810;Wójtowizna;część wsi;0.232;0.763;0.003;0.002;1;osada
155300;Bliżewo;przysiółek wsi;0.917;0.082;0.0;0.001;0;wieś
155464;Płoskinia-Kolonia;część wsi;0.991;0.001;0.001;0.007;0;wieś
159054;Kikoły;przysiółek wsi;0.992;0.002;0.0;0.005;0;wieś
469079;Rzymek;przysiółek wsi;0.995;0.002;0.0;0.003;0;wieś
469122;Dobrzykowo;przysiółek wsi;0.141;0.719;0.003;0.137;1;osada
469151;Kudwiny;przysiółek osady;0.903;0.007;0.033;0.057;0;wieś
469174;Gęsiniec Wielki;przysiółek wsi;0.986;0.011;0.0;0.003;0;wieś
